rating,rating_raw,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count,subjectivity_score
3.5,★★★½,2026-01-18,"★★★½ Watched by Nimajneb_8 18 Jan 2026
The sloth DMV scene adds 1.5 stars to this movie
No likes yet",20,en,watched nimajneb jan sloth dmv scene add star movie like yet,2026-01,11,1.9703812657902302
4.0,★★★★,2016-03-04,"★★★★ Watched by Ed 04 Mar 2016
As one might expect, the trailers that accompanied Zootopia where almost entirely for animated kids films. Of the trailers, one included a poop joke, one included a pee joke, and one included a pun on the word ""ass."" Give this, I can only include that the marketers for kids films conclude that children and parents are gibbering fools. While Zootopia indicates that we can sometimes be fools, we're well meaning ones who can learn to look beyond our own foolishness,… more
No likes yet",91,en,watched ed mar one might expect trailer accompanied zootopia almost entirely animated kid film trailer one included poop joke one included pee joke one included pun word as give include marketer kid film conclude child parent gibbering fool zootopia indicates sometimes fool well meaning one learn look beyond foolishness like yet,2016-03,51,3.0133450544996045
5.0,★★★★★,2026-01-20,"★★★★★
Watched by zoesinger 20 Jan 2026
Honestly such a good and rewatchable movie for being a kids movie
No likes yet",22,en,watched zoesinger jan honestly good rewatchable movie kid movie like yet,2026-01,11,2.874701627414186
4.5,★★★★½,2016-03-12,"★★★★½
Watched by Jordan Schmidt 12 Mar 2016
Conceptually, this is basically a Dreamworks animated movie. An entire town populated by intricately designed animals? Yeah, that's something they'd do. It didn't feel to me like a regular Disney movie, which is why I was so skeptical going in.
I was right. It wasn't a regular Disney movie. This was a movie about some of the most important social issues, taught to kids through the use of cuddly talking animals. This wasn't a Disney movie that talked down to… more
1 like",91,en,watched jordan schmidt mar conceptually basically dreamworks animated movie entire town populated intricately designed animal yeah something feel like regular disney movie skeptical going right regular disney movie movie important social issue taught kid use cuddly talking animal disney movie talked like,2016-03,42,2.9880987718519583
3.5,★★★½,2026-01-04,"★★★½ Watched by TigerCod 04 Jan 2026
Good expansion to the lore of world we barely got to explore in the first outing. The universe feels lived in and complex, but understandable by a child. Solid work here.
No likes yet",41,en,watched tigercod jan good expansion lore world barely got explore first outing universe feel lived complex understandable child solid work like yet,2026-01,22,2.9655213136441323
3.0,★★★,2025-12-19,"★★★ Watched by teresaa 19 Dec 2025
It is so much better than Zootopia 2. I watched it when i was little and it wasn’t my fav childhood movie but i remember i like it a little bit. I loved the song i sang it a lot when i was little.
No likes yet",54,en,watched teresaa dec much better zootopia watched little fav childhood movie remember like little bit loved song sang lot little like yet,2025-12,22,3.273441071137846
3.5,★★★½,2026-01-14,"★★★½
Watched by 1au1auu 14 Jan 2026
sympa mais j’ai préf le 2
No likes yet",16,en,watched au auu jan sympa mais j ai pr f le like yet,2026-01,13,2.5363659310400695
4.0,★★★★,2026-01-21,"★★★★
Watched by nocturne 21 Jan 2026
hell yeahhh
2 likes",11,en,watched nocturne jan hell yeahhh like,2026-01,6,2.2150014746247133
4.5,★★★★½,2026-01-18,"★★★★½ Watched by Liz 18 Jan 2026
Going to see Zootopia 2 tomorrow and I’ve never seen Zootopia 1 so it was really a now or never situation
No likes yet",31,en,watched liz jan going see zootopia tomorrow never seen zootopia really never situation like yet,2026-01,15,3.2662237475539166
3.0,★★★,2016-03-04,"★★★ Watched by David Kaylor 04 Mar 2016
Zootopia the city has the most magnificent architecture ever and I want to go there.
Zootopia the movie has the least subtle racism message ever and it was overbearing.
It's pretty funny at parts and cute, and there's [sic] likeable characters.
65/100.
No likes yet",53,en,watched david kaylor mar zootopia city magnificent architecture ever want go zootopia movie least subtle racism message ever overbearing pretty funny part cute sic likeable character like yet,2016-03,28,4.023981427553538
5.0,★★★★★,2016-03-04,"★★★★★ Watched by MovieSamurai 04 Mar 2016
As timely a Disney movie as we're likely to ever get. With Ferguson, crystal-meth addiction, and a running commentary on the history of racism inherent in the U.S. throughout the 20th century, John Lasseter and his creative team have managed to still remain delightful, witty, touching, visually textured, and fast-paced in this very, very fine film for all ages and tastes. It's quite an achievement, worthy of repeated viewings. Yes, it's that good...and deep, too! Could this be the Inside Out of 2016?
1 like",92,en,watched moviesamurai mar timely disney movie likely ever get ferguson crystal meth addiction running commentary history racism inherent u throughout th century john lasseter creative team managed still remain delightful witty touching visually textured fast paced fine film age taste quite achievement worthy repeated viewing yes good deep could inside like,2016-03,51,3.952846748377605
4.0,★★★★,2026-01-19,"★★★★
Watched by Tiramilu8 19 Jan 2026
Im not ashamed of giving this proud 4 stars
No likes yet",19,en,watched tiramilu jan im ashamed giving proud star like yet,2026-01,10,2.329691310655492
4.0,★★★★,2026-01-19,"★★★★ Watched by Robel23 19 Jan 2026
ella es una conejita, con tremendo
No likes yet",16,en,watched robel jan ella e una conejita con tremendo like yet,2026-01,11,2.437368396970024
4.5,★★★★½,2016-03-08,"★★★★½
Watched by D.A. 08 Mar 2016
After the massive success and intellectual grandeur of Inside Out last year, I figured it would be a very long time before any other animated film came close. Inside Out tackled our views on cognition and emotion in a beautifully creative way, making it not only a spectacle to watch but also somewhat of a crash course in Freudian psychology. In many ways, Zootopia is also an incredibly intelligent and creative film, though its purpose is for a different message—an… more
2 likes",90,en,watched mar massive success intellectual grandeur inside last year figured would long time animated film came close inside tackled view cognition emotion beautifully creative way making spectacle watch also somewhat crash course freudian psychology many way zootopia also incredibly intelligent creative film though purpose different message like,2016-03,47,2.817389377272012
4.0,★★★★,2026-01-16,"★★★★ Watched by lenschebert 16 Jan 2026
I kept thinking why I like Judy's and Nick's dynamic so much. And then I realized it kinda reminded me of Rapunzel and Flynn Rider.
1 like",34,en,watched lenschebert jan kept thinking like judy nick dynamic much realized kinda reminded rapunzel flynn rider like,2026-01,17,2.85910551439807
5.0,★★★★★,2026-01-18,"★★★★★ Watched by bianunesvm 18 Jan 2026
o 2 não supera nunca
No likes yet",15,en,watched bianunesvm jan n supera nunca like yet,2026-01,8,2.1726808265316473
3.0,★★★,2016-01-18,"★★★
Watched by ErrickaLaws 18 Jan 2016
fun watch
No likes yet",12,en,watched errickalaws jan fun watch like yet,2016-01,7,2.3329271561642093
